entry_time,symbol,regime,signal,entry,sl,tp,outcome,trade_id,exit_time,exit_price,status,pnl,duration_minutes
2026-03-10 19:35:37+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:38+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:38+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:38+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:39+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:39+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:39+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:39+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:40+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:40+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:35:40+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:20+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:20+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:21+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:21+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:21+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:21+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:21+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:22+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:22+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:22+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 19:37:22+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:55+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:56+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:56+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:56+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:56+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:57+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:57+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:57+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:58+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:58+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 20:28:58+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:49+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:49+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:49+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:49+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:49+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:50+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:50+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:50+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:50+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:51+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 21:25:51+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:50+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:50+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:50+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:50+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:51+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:51+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:51+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:51+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:51+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:52+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 22:23:52+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:16+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:16+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:16+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:17+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:17+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:17+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:18+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:18+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:18+00:00,EURJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:18+00:00,GBPJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-10 23:23:19+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:43+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:43+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:44+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:44+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:44+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:45+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:45+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:46+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 01:41:47+00:00,EURJPY,0,SELL (Mean Reversion),183.955,184.2564,183.3522,✅ TAKE PROFIT,,2026-03-12 08:00:00+00:00,183.3522,CLOSED,0.602800000000002,1818.2166666666667
2026-03-11 01:41:48+00:00,GBPJPY,0,SELL (Mean Reversion),212.75101,213.13277,211.98749,❌ STOP LOSS,,2026-03-11 17:00:00+00:00,213.13277,CLOSED,-0.3817599999999856,918.2
2026-03-11 01:41:48+00:00,XAUUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:25+00:00,EURUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:25+00:00,GBPUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:26+00:00,USDJPY,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:26+00:00,AUDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:26+00:00,USDCAD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:27+00:00,USDCHF,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:27+00:00,NZDUSD,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
2026-03-11 04:06:27+00:00,EURGBP,0,,0.0,0.0,0.0,PENDING,,,,OPEN,,
